52,do you have milk?,naa ba kay gatas?
53,I have a small green house,naa ko''y gamay nga balay nga berde
54,I have milk and coffee,naa ko''y gatas ug kape
55,I have three dogs,naa ko''y tulo ka iro
56,Is this seat taken?,naa naglingkod diri nga lingkuranan?
57,she only has one apple,naa ra siya''y usa ka mansanas
58,she has five red shoes,naa siya''y lima ka pula nga sapatos
59,she has a tall sister,naa siya''y taason nga igsuon nga babayi
60,he has a tall brother,naa siya''y taason nga igsuon nga lalaki
61,she has three small dogs,naa siya''y tulo ka gagmay nga iro
62,he has three dogs,naa siya''y tulo ka iro
63,he has three apples,naa siya''y tulo ka mansanas
64,they bought milk and bread,nagpalit sila ug gatas ug pan
65,we live in a small house,nagpuyo mi sa gamay nga balay
66,she lives near the church,nagpuyo siya duol sa kapilya
67,she wrote him a letter,nagsuwat siya ug suwat para niya
68,I understand you,nakasabot ko nimu
69,I need help immediately,nanginahanglan ko ug tabang karon dayun
70,he came with his small dog,niabot siya uban iya gamay nga iro
71,he visits many countries,nibisita siya ug daghang nasud
72,I''m good. Thank You.,Okay rako. Salamat
73,you speak very fast,paspasa man ka musulti
74,I will always love you,pirmi tika higugmaon
75,can you come with me?,pwede ka muuban nako? 
76,can I help you?,Pwede ko makatabang ko nimu?
77,Can I help you?,pwede ko makatabang ko nimu?
78,can you tell me your name?,pwede ko nimu sultian sa imu pangalan?
79,can we learn German together?,pwede mag-uban ug kat-on ug German?
80,this language is very easy,sayon rajud ni nga linguahe
81,I will give you money,tagaan tika ug kwarta
82,how much is this?,tagpila man ni?
83,How much is this?,tagpila man ni?
84,what is your name?,unsa imu pangalan?
85,Then,unya
86,I''m vegetarian,utan ra ako kaonon
87,she is very intelligent,utukan siya kaayo
88,I don''t understand you,wa ko kasabot nimu
89,she didn''t visit Germany,wala siya nibisita sa Germany
90,no problem,way problema
91,how are you?,musta man ka?
92,and you?,ikaw?
93,what is your name?,unsa imu pangan?
94,my name is Maya,ako pangalan kay Maya
95,nice to meet,you maaung pakigkita nimu
96,Do you speak (English/ Cebuano)?,makastorya ka ug (Iningles/ cebuano)?
97,Just a little,ginagmay lang
98,I like Cebuano,ganahan ko ug cebuano
99,Can I practice with you?,pwede ko magpraktis kauban nimu?
100,How old are you?,pila na imu edad?
101,I''m thirty three years old,trayntay tres na ako edad
102,It was nice talking to you,nindot kaau makigstorya nimu
103,Help,tabang
104,Call the ambulance,tawagi ang ambulansya
105,I need a doctor,nanginahanglan ko ug duktor
106,Where is the closest pharmacy?,asa man ang pinakaduol nga botika
107,Are you okay?,okay raka?
108,I am sick,gihilantan ko
109,Call the police,tawagi ang pulis
110,What do you mean?,Unsay imu buot pasabot?
111,I don''t understand,Wa ko kasabot
112,I don''t know,Wa ko kahibaw
113,What is that called in Cebuano?,Unsay tawag ana sa cebuano?
114,What is this?,Unsa ni?
115,What does that phrase mean in English?,Unsay pasabot ana nga sinultian sa Iningles?
116,Sorry (if you made a mistake),pasaylo
117,Where are you from?,Asa man ka gikan?
118,I''m from the U.S,Gikan ko sa U.S
119,I''m American,Americano ko
120,Where do you live?,Asa ka nagpuyo?
121,I live in the U.S,Nagpuyo ko sa U.S
122,What do you do for a living?,Unsa man imu panginabuhi?
123,I''m a student,Estudyante ko
124,Happy birthday,malipayong kaadlawan
125,Happy new year,Malipayong bag-ong tuig
126,Merry Christmas,Malipayong pasko
127,Good luck,Maayong swerte
128,I have a reservation (hotel),naa koy reserba
129,Do you have rooms available?,naa pa may bakante nga kwarto?
130,I would like a non-smoking room,Ganahan ko ug kwarto nga bawal manigarilyo
131,What is the charge per night?,Pilay bayad kada gabi-e
